1,2022-10-04 18:23:43.259387 +00:00,1,Коты,2,"[{""changed"": {""fields"": [""Name""]}}]",8,1
2,2022-10-04 18:24:17.454212 +00:00,6,Телевизоры,1,"[{""added"": {}}]",8,1
3,2022-10-05 16:03:14.276619 +00:00,7,Телевизоры,1,"[{""added"": {}}]",8,1
